year,country,cluster
1974,AR,
1974,AT,
1974,AU,
1974,BE,
1974,BG,
1974,BR,
1974,CA,
1974,CH,
1974,CN,
1974,CZ,
1974,DE,
1974,DK,
1974,EG,
1974,ES,
1974,FI,
1974,FR,
1974,GB,
1974,GR,
1974,HR,
1974,HU,
1974,IE,
1974,IL,
1974,IN,
1974,IT,
1974,JP,
1974,MX,
1974,NG,
1974,NL,
1974,NO,
1974,NZ,
1974,PL,
1974,RU,
1974,SE,
1974,SK,
1974,UA,
1974,US,
1974,ZA,
1975,AR,8.0
1975,AT,0.0
1975,AU,7.0
1975,BE,5.0
1975,BG,4.0
1975,BR,7.0
1975,CA,7.0
1975,CH,5.0
1975,CN,5.0
1975,CZ,5.0
1975,DE,5.0
1975,DK,8.0
1975,EG,5.0
1975,ES,7.0
1975,FI,8.0
1975,FR,5.0
1975,GB,7.0
1975,GR,0.0
1975,HR,7.0
1975,HU,5.0
1975,IE,7.0
1975,IL,5.0
1975,IN,5.0
1975,IT,5.0
1975,JP,5.0
1975,MX,7.0
1975,NG,7.0
1975,NL,5.0
1975,NO,8.0
1975,NZ,7.0
1975,PL,5.0
1975,RU,4.0
1975,SE,8.0
1975,SK,5.0
1975,UA,4.0
1975,US,7.0
1975,ZA,7.0
1976,AR,8.0
1976,AT,2.0
1976,AU,7.0
1976,BE,2.0
1976,BG,5.0
1976,BR,7.0
1976,CA,7.0
1976,CH,2.0
1976,CN,5.0
1976,CZ,5.0
1976,DE,5.0
1976,DK,8.0
1976,EG,5.0
1976,ES,7.0
1976,FI,8.0
1976,FR,5.0
1976,GB,7.0
1976,GR,2.0
1976,HR,7.0
1976,HU,5.0
1976,IE,7.0
1976,IL,2.0
1976,IN,5.0
1976,IT,5.0
1976,JP,5.0
1976,MX,7.0
1976,NG,7.0
1976,NL,5.0
1976,NO,8.0
1976,NZ,7.0
1976,PL,5.0
1976,RU,9.0
1976,SE,8.0
1976,SK,5.0
1976,UA,9.0
1976,US,7.0
1976,ZA,7.0
1977,AR,8.0
1977,AT,2.0
1977,AU,7.0
1977,BE,2.0
1977,BG,5.0
1977,BR,7.0
1977,CA,7.0
1977,CH,2.0
1977,CN,5.0
1977,CZ,5.0
1977,DE,5.0
1977,DK,8.0
1977,EG,5.0
1977,ES,7.0
1977,FI,8.0
1977,FR,5.0
1977,GB,7.0
1977,GR,2.0
1977,HR,7.0
1977,HU,2.0
1977,IE,7.0
1977,IL,2.0
1977,IN,5.0
1977,IT,2.0
1977,JP,5.0
1977,MX,7.0
1977,NG,7.0
1977,NL,5.0
1977,NO,8.0
1977,NZ,7.0
1977,PL,5.0
1977,RU,9.0
1977,SE,8.0
1977,SK,5.0
1977,TW,5.0
1977,UA,9.0
1977,US,7.0
1977,ZA,7.0
1978,AR,7.0
1978,AT,2.0
1978,AU,7.0
1978,BE,2.0
1978,BG,5.0
1978,BR,7.0
1978,CA,7.0
1978,CH,2.0
1978,CN,5.0
1978,CZ,5.0
1978,DE,5.0
1978,DK,8.0
1978,EG,5.0
1978,ES,7.0
1978,FI,8.0
1978,FR,5.0
1978,GB,7.0
1978,GR,5.0
1978,HR,7.0
1978,HU,5.0
1978,IE,7.0
1978,IL,2.0
1978,IN,5.0
1978,IT,2.0
1978,JP,5.0
1978,KR,8.0
1978,MX,7.0
1978,NG,7.0
1978,NL,5.0
1978,NO,8.0
1978,NZ,7.0
1978,PL,5.0
1978,RU,9.0
1978,SE,8.0
1978,SK,5.0
1978,TW,5.0
1978,UA,9.0
1978,US,7.0
1978,ZA,7.0
1979,AR,7.0
1979,AT,2.0
1979,AU,7.0
1979,BE,2.0
1979,BG,5.0
1979,BR,7.0
1979,CA,7.0
1979,CH,2.0
1979,CN,5.0
1979,CZ,5.0
1979,DE,5.0
1979,DK,8.0
1979,EG,5.0
1979,ES,7.0
1979,FI,8.0
1979,FR,5.0
1979,GB,7.0
1979,GR,5.0
1979,HR,7.0
1979,HU,2.0
1979,IE,7.0
1979,IL,2.0
1979,IN,5.0
1979,IT,2.0
1979,JP,5.0
1979,KR,8.0
1979,MX,7.0
1979,NG,7.0
1979,NL,2.0
1979,NO,8.0
1979,NZ,7.0
1979,PL,5.0
1979,RO,5.0
1979,RU,9.0
1979,SE,8.0
1979,SK,5.0
1979,TW,5.0
1979,UA,9.0
1979,US,7.0
1979,ZA,7.0
1980,AR,7.0
1980,AT,2.0
1980,AU,7.0
1980,BE,2.0
1980,BG,5.0
1980,BR,7.0
1980,CA,7.0
1980,CH,2.0
1980,CL,7.0
1980,CN,5.0
1980,CZ,5.0
1980,DE,5.0
1980,DK,8.0
1980,EG,5.0
1980,ES,7.0
1980,FI,8.0
1980,FR,5.0
1980,GB,7.0
1980,GR,5.0
1980,HR,7.0
1980,HU,2.0
1980,IE,7.0
1980,IL,2.0
1980,IN,5.0
1980,IT,2.0
1980,JP,5.0
1980,KR,8.0
1980,MX,7.0
1980,NG,7.0
1980,NL,2.0
1980,NO,8.0
1980,NZ,7.0
1980,PL,5.0
1980,RO,5.0
1980,RU,9.0
1980,SE,8.0
1980,SK,5.0
1980,TR,7.0
1980,TW,5.0
1980,UA,9.0
1980,US,7.0
1980,ZA,7.0
1981,AR,7.0
1981,AT,2.0
1981,AU,7.0
1981,BE,2.0
1981,BG,5.0
1981,BR,7.0
1981,CA,7.0
1981,CH,2.0
1981,CL,7.0
1981,CN,5.0
1981,CO,0.0
1981,CZ,5.0
1981,DE,5.0
1981,DK,8.0
1981,EG,5.0
1981,ES,7.0
1981,FI,8.0
1981,FR,5.0
1981,GB,7.0
1981,GR,5.0
1981,HR,0.0
1981,HU,2.0
1981,IE,7.0
1981,IL,2.0
1981,IN,5.0
1981,IT,2.0
1981,JP,5.0
1981,KR,8.0
1981,MX,0.0
1981,NG,7.0
1981,NL,2.0
1981,NO,8.0
1981,NZ,7.0
1981,PL,5.0
1981,RO,5.0
1981,RU,9.0
1981,SE,8.0
1981,SK,5.0
1981,TR,7.0
1981,TW,5.0
1981,UA,9.0
1981,US,7.0
1981,VE,7.0
1981,ZA,7.0
1982,AR,7.0
1982,AT,2.0
1982,AU,7.0
1982,BE,2.0
1982,BG,5.0
1982,BR,7.0
1982,CA,7.0
1982,CH,2.0
1982,CL,7.0
1982,CN,5.0
1982,CO,0.0
1982,CZ,5.0
1982,DE,5.0
1982,DK,8.0
1982,EG,5.0
1982,ES,7.0
1982,FI,8.0
1982,FR,5.0
1982,GB,7.0
1982,GR,5.0
1982,HR,0.0
1982,HU,2.0
1982,IE,7.0
1982,IL,2.0
1982,IN,5.0
1982,IT,2.0
1982,JP,5.0
1982,KE,0.0
1982,KR,8.0
1982,MX,0.0
1982,NG,7.0
1982,NL,2.0
1982,NO,8.0
1982,NZ,7.0
1982,PL,5.0
1982,RO,5.0
1982,RU,5.0
1982,SE,8.0
1982,SK,5.0
1982,TR,7.0
1982,TW,5.0
1982,UA,0.0
1982,US,7.0
1982,VE,7.0
1982,ZA,7.0
1983,AR,7.0
1983,AT,2.0
1983,AU,7.0
1983,BE,2.0
1983,BG,5.0
1983,BR,7.0
1983,CA,7.0
1983,CH,2.0
1983,CL,7.0
1983,CN,5.0
1983,CO,0.0
1983,CZ,5.0
1983,DE,2.0
1983,DK,8.0
1983,EG,5.0
1983,ES,7.0
1983,FI,8.0
1983,FR,2.0
1983,GB,7.0
1983,GR,5.0
1983,HR,0.0
1983,HU,2.0
